交易日期,原版策略 (baseline),行业热度-top-30%,行业热度-top-40%,行业热度-top-50%,行业热度-bottom-30%,行业热度-bottom-40%
2012-12-31,4.266052277903856,3.5163178592276476,2.73917071104659,1.6390968617543344,4.794256225509555,8.91998512231888
2013-01-31,4.378484314496787,3.6089906050045273,2.838098858778659,1.6882141598043232,4.920609105471738,9.243383884080899
2013-02-28,4.306552574834516,3.4220684148906617,2.698854731563322,1.61105821352989,4.851066361992071,9.0670271185008
2013-03-29,4.1875409027650266,3.327499481407254,2.627930618875966,1.5687206719994142,4.579136980502209,8.59443140895393
2013-04-26,4.735372234812397,3.7127965985617233,2.9322234060552006,1.7767060993623949,5.202502318257714,9.76440528413412
2013-05-31,3.9375358082200798,3.087248231089414,2.5502327742639967,1.5452486040019782,4.401378149826976,8.261834644841402
2013-06-28,4.383419755354613,3.4635202328537344,2.8610536474526347,1.7335825965835117,4.612436741551139,8.880609374288369
2013-07-31,5.173686992243745,4.087942879346437,3.36329694322972,2.0379041312688604,5.517362406950703,10.622918656231809
2013-08-30,5.5117860795017535,4.369971307725713,3.5953318270497086,2.191702675621346,5.795752646300333,11.158920580552465
2013-09-30,5.442490527207983,4.315030936145806,3.4776494350625717,2.1199638693583984,5.955902144258241,11.783417470419957
2013-10-31,6.195967381851045,4.953275593424818,3.9590082804914446,2.413398667649654,6.909319402865948,13.486298740226161
2013-11-29,5.767992080603402,4.663102820336693,3.727081671571478,2.272016955538037,6.432070593984334,12.538784002726816
2013-12-31,5.968470289774715,4.779636710633896,3.820223801045746,2.3287960969919537,6.574837707239481,12.209257617436768
2014-01-30,6.278720592257113,5.044842128118377,4.032194733017713,2.392766641165015,6.962120350499361,13.03395411602404
2014-02-28,6.388712596476056,4.91176700212279,3.9345802428320167,2.334840694806799,7.515350359057035,14.06966941310751
2014-03-31,7.475961137061236,5.747664911773336,4.604177843637227,2.7321902546113543,8.528688266877623,14.24167657160204
2014-04-30,7.902468140232516,6.118249955410351,4.848589630951252,3.021568227064449,9.01525383443459,15.054170735673678
2014-05-30,8.714342689814377,6.716616740860273,5.324474545865822,3.3181325577444674,9.941452462042392,16.600788560442773
2014-06-30,9.439184827777972,7.297213710116716,5.7847321284380895,3.6049581696478223,10.782206464220577,18.00472621188719
2014-07-31,10.859504435540133,8.417022032648068,6.672439606712817,4.177876332330279,11.814479692186884,19.728473286019838
2014-08-29,13.790390223829597,10.688703065759642,8.473273017907205,5.305448814144794,14.627602120294577,22.515327542787524
2014-09-30,13.65127227712512,10.580875049343339,8.387794338552593,5.265438905893384,15.10641880660948,23.252339285154704
2014-10-31,13.980367299322825,10.835951150570155,8.622186505276273,5.4125786167743355,15.453186856416192,23.528402505948904
2014-11-28,12.309274266743772,9.694175860047551,7.444096327038971,4.728251805352638,13.606045623714092,20.816413601690808
2014-12-31,13.93815602374401,10.845846932733377,8.393782503236675,5.3533029160926535,15.406528659603389,23.007091199972095
2015-01-30,14.801606417325983,11.517732854145448,8.913766265343705,5.6849329754770865,16.537659415575682,25.74500336794389
2015-02-27,19.0365046370959,14.813079655335278,11.297489303872785,7.003252392346002,21.037495091024983,32.750123119686194
2015-03-31,23.559789888274654,18.20320722352386,13.883037402682893,8.606019646333165,27.65650816023823,42.67086138499796
2015-04-30,31.994225040442984,24.610670204251402,18.769816261234286,11.571184481101305,37.37144851529784,57.659914625286014
2015-05-29,43.05950271775237,33.46929613300697,25.303790418065663,15.62586755125884,48.79404601554465,72.71453024996018
2015-06-30,38.192401994886026,30.00082873665512,22.68152517172162,13.787329117948856,43.27875852626481,64.2223069031217
2015-07-31,42.060767162692265,33.03950016941121,24.978851795450517,15.536379737907446,49.64811987930433,61.943338785028544
2015-08-31,41.72328974527982,32.96394014274258,24.873349509582997,15.470759284658525,48.98342237080044,63.33196425154616
2015-09-30,51.30935834567678,40.537518196555034,30.58808667858792,18.957139945974316,61.23357835082073,79.63936092484991
2015-10-30,67.15502406936643,51.41027323496185,38.792258723291546,24.041722032671757,77.03438649615785,100.18962593763999
2015-11-30,80.24256033092104,61.07016663759673,46.081250991467094,28.559116270005845,91.27550621192304,121.32787050030541
2015-12-31,54.236501701482496,41.542616443656286,31.887832661815406,19.762664879820843,60.94276145583905,81.53286772231088
2016-01-29,66.59950453690045,49.71306576839381,37.68238881801721,22.60246392329291,74.37857122592824,99.4129236750538
2016-02-29,82.38891479088241,61.499039190545155,46.616129399646866,27.961055974649145,90.8264038078326,121.7820302903997
2016-03-31,89.52145691641044,66.82311086717083,51.98445604164712,31.181059086454187,102.0797133567499,140.02456930693688
2016-04-29,84.35815369723167,63.98088769006952,49.47970495141037,29.250877694252583,101.11883576052553,136.2957191775345
2016-05-31,89.2899045691187,67.86128424548984,53.74255274681489,31.978764887490158,107.85541034069125,145.37579086043272
2016-06-30,88.65409933172572,67.3780654521928,52.26604877425861,31.065481875213955,106.7679217439112,145.38897170550572
2016-07-29,96.92047931785966,73.87594008164206,57.35525837337369,33.67155499263894,115.43777078861056,157.6524240585414
2016-08-31,101.82494344017823,76.5364006118524,59.420767129455086,34.88415334265281,121.0937668197389,167.55966781042622
2016-09-30,106.33597561985437,79.17045197062838,61.465772527482834,36.08471478501746,125.80060507835485,175.35082082880908
2016-10-31,108.02848688428647,80.4577932806764,62.62438010210348,37.714956685303676,130.5917632819785,182.02911560491776
2016-11-30,122.58842563638699,91.3017898604916,66.16648951273334,39.848159485534254,144.61733063935483,201.5790593207994
2016-12-30,112.43998141560797,86.81252288730363,63.867086178718495,37.769286641676516,130.51956881515812,181.92848525414666
