breakout_window,exit_window,trend_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,7,30,0.5,-inf,recent_1y 跑输 ETF -5.18pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.8,-0.0501,0.14029999999999998,-0.05181799824407385,-0.0405757912745938,0.55,-0.1278,0.0704,-0.21741407035175886,-0.0037359477124182805
15,7,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,2.96,-0.0379,0.1121,-0.07971799824407388,-0.052775791274593795,0.38,-0.13269999999999998,0.0501,-0.2604140703517588,0.0011640522875817072
15,5,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.10pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.54,-0.0659,0.16760000000000003,-0.024817998244073936,-0.024775791274593797,0.86,-0.1277,0.11019999999999999,-0.13101407035175883,-0.0038359477124182695
15,5,80,0.5,-inf,full_pre_cutoff 跑输 ETF -21.94pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,3.1,-0.0484,0.14980000000000002,-0.042517998244073985,-0.0422757912745938,0.56,-0.125,0.0695,-0.21941407035175886,-0.006535947712418277
15,5,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,3.5,-0.0355,0.1243,-0.06761799824407388,-0.0551757912745938,0.25,-0.1292,0.0323,-0.29731407035175894,-0.002335947712418268
15,5,50,0.7,-inf,full_pre_cutoff 跑输 ETF -14.62pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.5,-0.0659,0.1648,-0.027717998244073838,-0.024775791274593797,0.8,-0.129,0.1033,-0.14621407035175893,-0.002535947712418274
15,5,50,0.5,-inf,full_pre_cutoff 跑输 ETF -21.43pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,3.02,-0.0484,0.1463,-0.04601799824407382,-0.0422757912745938,0.57,-0.1264,0.0719,-0.21431407035175876,-0.005135947712418265
15,5,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.35,-0.0355,0.1189,-0.07301799824407396,-0.0551757912745938,0.38,-0.1305,0.0499,-0.26091407035175873,-0.0010359477124182725
15,5,30,0.7,-inf,full_pre_cutoff 跑输 ETF -14.41pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.46,-0.0659,0.1624,-0.030017998244073807,-0.024775791274593797,0.81,-0.12890000000000001,0.1043,-0.14411407035175894,-0.002635947712418263
25,10,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.88pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.34,-0.0698,0.163,-0.029417998244073873,-0.020875791274593797,0.81,-0.13140000000000002,0.1066,-0.13881407035175886,-0.00013594771241826065
