momentum_short_window,momentum_long_window,trend_window,momentum_threshold,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,40,40,0.01,0.7,-inf,recent_6m 跑输 ETF -7.70pp 超过容忍带 -5.0pp,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287,12.07,-0.09960000000000001,1.2019,-0.07698181818181804,-0.018739529120198287
20,30,60,0.01,0.5,-inf,recent_6m 跑输 ETF -11.61pp 超过容忍带 -5.0pp,9.8,-0.1097,1.0749,-0.11608181818181817,-0.008639529120198289,9.8,-0.1097,1.0749,-0.11608181818181817,-0.008639529120198289,9.8,-0.1097,1.0749,-0.11608181818181817,-0.008639529120198289
20,40,60,0.02,0.7,-inf,recent_6m 跑输 ETF -7.86pp 超过容忍带 -5.0pp,10.99,-0.10890000000000001,1.1968,-0.07858181818181809,-0.009439529120198284,10.99,-0.10890000000000001,1.1968,-0.07858181818181809,-0.009439529120198284,10.99,-0.10890000000000001,1.1968,-0.07858181818181809,-0.009439529120198284
20,60,30,0.0,0.3,-inf,recent_6m 跑输 ETF -14.70pp 超过容忍带 -5.0pp,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287
20,60,30,0.0,0.5,-inf,recent_6m 跑输 ETF -11.25pp 超过容忍带 -5.0pp,9.91,-0.1097,1.0865,-0.11248181818181813,-0.008639529120198289,9.91,-0.1097,1.0865,-0.11248181818181813,-0.008639529120198289,9.91,-0.1097,1.0865,-0.11248181818181813,-0.008639529120198289
20,60,30,0.0,0.7,-inf,recent_6m 跑输 ETF -7.96pp 超过容忍带 -5.0pp,10.95,-0.10890000000000001,1.1932,-0.07958181818181798,-0.009439529120198284,10.95,-0.10890000000000001,1.1932,-0.07958181818181798,-0.009439529120198284,10.95,-0.10890000000000001,1.1932,-0.07958181818181798,-0.009439529120198284
20,60,30,0.01,0.3,-inf,recent_6m 跑输 ETF -14.70pp 超过容忍带 -5.0pp,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287
20,60,30,0.01,0.5,-inf,recent_6m 跑输 ETF -11.25pp 超过容忍带 -5.0pp,9.91,-0.1097,1.0865,-0.11248181818181813,-0.008639529120198289,9.91,-0.1097,1.0865,-0.11248181818181813,-0.008639529120198289,9.91,-0.1097,1.0865,-0.11248181818181813,-0.008639529120198289
20,60,30,0.01,0.7,-inf,recent_6m 跑输 ETF -7.96pp 超过容忍带 -5.0pp,10.95,-0.10890000000000001,1.1932,-0.07958181818181798,-0.009439529120198284,10.95,-0.10890000000000001,1.1932,-0.07958181818181798,-0.009439529120198284,10.95,-0.10890000000000001,1.1932,-0.07958181818181798,-0.009439529120198284
20,60,30,0.02,0.3,-inf,recent_6m 跑输 ETF -14.70pp 超过容忍带 -5.0pp,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287,8.53,-0.11460000000000001,0.9775,-0.1469818181818181,-0.003739529120198287
