breakout_window,exit_window,trend_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,8,40,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
20,8,40,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
15,5,30,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
10,5,40,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
15,5,40,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
10,8,30,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
10,5,30,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
15,8,30,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
8,8,40,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
8,8,30,0.7,-2.2578550440744527,,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355,6.85,-0.1391,0.9531999999999999,-0.022578550440744527,-0.02494647983595355
