,NDX,SPX,Position,QQQ_weight,ret_ndx,ret_spx,pos_l,qw_l,cash_ret,asset_ret,strat_ret,turnover,strat_nv,bh_ndx_nv,bh_spx_nv
2025-01-06,21559.5,5975.38,1.3,1.0,0.010941491576542672,0.005538101159955344,1.3,1.0,0.0001556498627912628,0.010941491576542672,0.014164415239981664,0.0,4.134554912965154,4.950402975821458,2.91760903107361
2025-01-07,21173.04,5909.03,1.3,1.0,-0.01792527656021703,-0.011103896321238205,1.3,1.0,0.0001556498627912628,-0.01792527656021703,-0.023362383337805947,0.0,4.037961856157253,4.8616656333953365,2.8852122028866605
2025-01-08,21180.96,5918.25,1.3,1.0,0.00037406059781686096,0.0015603237756451893,1.3,1.0,0.0001556498627912628,0.00037406059781686096,0.0004267549676381097,0.0,4.0396850764385,4.86348419094855,2.889714068084606
2025-01-09,21180.96,5918.25,1.3,1.0,0.0,0.0,1.3,1.0,0.0001556498627912628,0.0,-5.952380952380953e-05,0.0,4.039444618993475,4.86348419094855,2.889714068084606
2025-01-10,20847.58,5827.04,1.3,1.0,-0.015739607647623055,-0.01541165040341319,1.3,1.0,0.0001556498627912628,-0.015739607647623055,-0.02052101375143378,0.0,3.9565511204189545,4.786934857982603,2.8451788051014613
2025-01-13,20784.72,5836.22,1.3,1.0,-0.003015218073272763,0.0015754139322881056,1.3,1.0,0.0001556498627912628,-0.003015218073272763,-0.003979307304778402,0.0,3.9408067876437425,4.772501205483234,2.849661139430869
2025-01-14,20757.41,5842.91,1.3,1.0,-0.0013139460141874393,0.001146289893115604,1.3,1.0,0.0001556498627912628,-0.0013139460141874393,-0.0017676536279674806,0.0,3.933840806228445,4.766230396546584,2.8529276771938026
2025-01-15,21237.85,5949.91,1.3,1.0,0.023145469497398707,0.018312792769356268,1.3,1.0,0.0001556498627912628,0.023145469497398707,0.03002958653709451,0.0,4.051972419142236,4.876547036807428,2.9051727505322136
2025-01-16,21091.25,5937.34,1.3,1.0,-0.006902770289836213,-0.002112636997870454,1.3,1.0,0.0001556498627912628,-0.006902770289836213,-0.009033125186310886,0.0,4.015370445028645,4.842885352804765,2.8990351750942343
2025-01-17,21441.15,5996.66,1.3,1.0,0.01658981805250992,0.009991006073426734,1.3,1.0,0.0001556498627912628,0.01658981805250992,0.02150723965873909,0.0,4.101729979508494,4.923227939656961,2.9279994531356786
2025-01-20,21441.15,5996.66,1.3,1.0,0.0,0.0,1.3,1.0,0.0001556498627912628,0.0,-5.952380952380953e-05,0.0,4.101485828914475,4.923227939656961,2.9279994531356786
2025-01-21,21566.51,6049.24,1.3,1.0,0.005846701319658587,0.00876821430596375,1.3,1.0,0.0001556498627912628,0.005846701319658587,0.007541187906032354,0.0,4.132415904244247,4.952012582948734,2.953672779828517
